Name,Link,Qty, BasePrice 
RaspberryPi Pico,https://pt.aliexpress.com/item/1005006839247100.html,1,$3.35
JST Connector Set,https://pt.aliexpress.com/item/1005010377807416.html,1,$11.54 
85C1 Ammeter,https://pt.aliexpress.com/item/1005005650153387.html,4,$3.66 
Resistor Set,https://pt.aliexpress.com/item/1005006174061842.html,1,$5.27 
Heatset Insert,https://pt.aliexpress.com/item/4000232858343.html,1,$6.32 
MCP4728 DAC,https://pt.aliexpress.com/item/1005012505445193.html,1,$8.11 
EC11 20mm Rotary Encoder (with Switch),https://pt.aliexpress.com/item/1005007644083514.html,1,$1.48 
Cherry MX Compatible Switches 10pc set,https://pt.aliexpress.com/item/1005010462521108.html,1,$5.63 
1U Keycap Set 10pcs,https://pt.aliexpress.com/item/1005006910173774.html,1,$2.93 
M3 6mm Phillips Machine Screw Set,https://pt.aliexpress.com/item/32971605141.html,1,$1.84 
ST7735 1.8 Inch SPI Display,https://pt.aliexpress.com/item/1005006690968351.html,1,$3.33
Total,,,
