Name,Link,Qty, BasePrice , PriceAfterTax , FinalPrice 
RaspberryPi Pico,https://pt.aliexpress.com/item/1005003753933847.html,1,$2.74 ,$3.23 ,$3.23 
JST Connector Set,https://pt.aliexpress.com/item/1005010377807416.html,1,$11.54 ,$13.62 ,$13.62 
85C1 Ammeter,https://pt.aliexpress.com/item/1005006174061842.html,4,$3.66 ,$4.32 ,$17.28 
Resistor Set,https://pt.aliexpress.com/item/1005006174061842.html,1,$5.27 ,$6.22 ,$6.22 
Heatset Insert,https://pt.aliexpress.com/item/4000232858343.html,1,$6.32 ,$7.46 ,$7.46 
MCP4728 DAC,https://pt.aliexpress.com/item/4000232858343.html,1,$8.11 ,$9.57 ,$9.57 
Rotary Encoder (with Switch),https://pt.aliexpress.com/item/1005012518663058.html,1,$3.38 ,$3.99 ,$3.99 
Cherry MX Compatible Switches 10pc set,https://pt.aliexpress.com/item/1005010462521108.html,1,$5.63 ,$6.64 ,$6.64 
1U Keycap Set 10pcs,https://pt.aliexpress.com/item/1005006910173774.html,1,$2.93 ,$3.46 ,$3.46 
Total,,,,,$71.46 
