Designator,Qty,SMD/THT?,PCB,LCSC Part #,AliExpress Link,Price (Aliexpress Old User),Price (Aliexpress New User)
1.77inch ST7735 Display,1,N/A,None,C5329585,https://pt.aliexpress.com/item/1005003112573376.html,2.63,1.60
85C1 Ammeter 5mA,4,N/A,None,-,https://pt.aliexpress.com/item/1005005650153387.html,14.40,14.88
M3 X 4.2 X L4.0 Brass Heatset Insert 100pcs,1,N/A,None,-,https://pt.aliexpress.com/item/1005006838108683.html,1.38,3.31
M2 X 3.2 X L4.0 Brass Heatset Insert 100pcs,1,N/A,None,-,https://pt.aliexpress.com/item/1005006838108683.html,1.26,3.49
Countersunk Screw set M3,1,N/A,None,-,https://pt.aliexpress.com/item/1005011580506515.html,7.46,6.25
Countersunk Screw Set M2,4,N/A,None,-,https://pt.aliexpress.com/item/1005007278965396.html,4.77,3.61
Cherry MX Compatible Switches 10pcs,1,THT,inputBoard,-,https://pt.aliexpress.com/item/1005008948799927.html,5.69,1.26
XDA2 1U Keycaps 10pcs,1,N/A,inputBoard,-,https://pt.aliexpress.com/item/1005006910173774.html,2.97,1.27
EC11 Rotary Encoder 20mm with Switch,1,THT,inputBoard,C370986,https://pt.aliexpress.com/item/1005007644083514.html,2.97,1.27
JST-XH Kit,1,THT,"mainBoard, inputBoard",-,https://pt.aliexpress.com/item/1005010377807416.html,11.65,4.45
Raspberry Pi Pico,1,THT,mainBoard,C42924268,https://pt.aliexpress.com/item/1005008948799927.html,3.49,3.49
MCP4728-E,1,SMD,mainBoard,C108207,-,2.42,2.42
10uF Tantalum Capacitor 1206,1,SMD,mainBoard,C7171 ,https://pt.aliexpress.com/item/1005012317096366.html,0.3772,0.3772
100nF Ceramic Capacitor 1206,1,SMD,mainBoard,C24497,https://pt.aliexpress.com/item/1005010653487250.html,0.0498,0.0498
10KΩ 4x0603 Concave Resistor Network,1,SMD,mainBoard,C29718,https://pt.aliexpress.com/item/1005004301411185.html,"0.0144

","0.0144

"
665Ω Resistor,4,SMD,mainBoard,C54532953,https://pt.aliexpress.com/item/1005005604946383.html,"0.0480

","0.0480

"
Main Board at JLCPCB,1,N/A,None,-,-,2,2
Main Board PCBA fees,1,N/A,None,-,-,18.28,18.28
Input Board at JLCPCB,1,N/A,None,-,-,6.90,6.90
3D printed parts,400g,N/A,None,-,-,20,20
Final Cost,,,,,,108.76,94.97
