"Reference","Value","Footprint","Qty","DNP","Price"
"A1","RaspberryPi_Pico","Module:RaspberryPi_Pico_Common_Unspecified","1","",""
"C1","10µF","Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H_HandSolder","1","",""
"C2","100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1","",""
"J1","UARTDebug","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1","",""
"J2","LeftKeyConnector","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","1","",""
"J3","DisplayConnector","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1","",""
"J4","LEDHeader","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1","",""
"J5","RightKeyConnector","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","1","",""
"J6","EncoderConnector","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1","",""
"MES1,MES2,MES3,MES4","Ammeter_DC","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","4","",""
"R1,R2","10K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","",""
"R3,R4,R5,R6","680","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4","",""
"U1","MCP4728-E_UN","Snapeda:SOP50P490X110-10N","1","","None"
