Ref,Val,Package,PosX,PosY,Rot,Side
"A1","RaspberryPi_Pico","RaspberryPi_Pico_Common_Unspecified",181.462500,-95.000000,-90.000000,top
"C1","10µF","CP_EIA-3528-15_AVX-H_HandSolder",195.432500,-109.827500,-90.000000,top
"C2","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",142.100000,-97.600000,180.000000,top
"J1","UARTDebug","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",194.400000,-72.800000,-90.000000,top
"J2","LeftKeyConnector","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",184.960000,-75.925000,180.000000,top
"J3","DisplayConnector","PinHeader_1x08_P2.54mm_Vertical",167.620000,-75.400000,-90.000000,top
"J4","LEDHeader","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",151.025000,-102.875000,-90.000000,top
"J5","RightKeyConnector","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",159.250000,-114.000000,0.000000,top
"J6","EncoderConnector","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",178.700000,-113.950000,0.000000,top
"MES1","Ammeter_DC","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",116.500000,-79.137500,180.000000,top
"MES2","Ammeter_DC","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",116.500000,-89.062500,180.000000,top
"MES3","Ammeter_DC","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",116.500000,-98.987500,180.000000,top
"MES4","Ammeter_DC","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",116.500000,-108.912500,180.000000,top
"R1","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",148.250000,-87.850000,90.000000,top
"R2","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",148.350000,-94.650000,90.000000,top
"R3","680","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",124.450000,-80.112500,180.000000,top
"R4","680","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",124.450000,-90.037500,180.000000,top
"R5","680","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",124.450000,-99.962500,180.000000,top
"R6","680","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",124.450000,-109.887500,180.000000,top
"U1","MCP4728-E_UN","SOP50P490X110-10N",142.000000,-94.500000,180.000000,top
