Designator,Mid X,Mid Y,Rotation,Layer
A1,181.5475,-95.0,270.0,top
C1,195.4325,-109.8275,90.0,top
C2,142.1,-97.6,180.0,top
J1,194.4,-76.55,270.0,top
J2,179.96,-75.925,180.0,top
J3,158.73,-75.4,270.0,top
J4,151.025,-105.375,270.0,top
J5,164.25,-114.0,0.0,top
J6,182.45,-113.95,0.0,top
MES1,115.25,-79.1375,180.0,top
MES2,115.25,-89.0625,180.0,top
MES3,115.25,-98.9875,180.0,top
MES4,115.25,-108.9125,180.0,top
R1,124.45,-80.1125,180.0,top
R2,124.45,-90.0375,180.0,top
R3,124.45,-99.9625,180.0,top
R4,124.45,-109.8875,180.0,top
RN1,149.15,-93.35,90.0,top
U1,142.0,-94.5,180.0,top
